timestamp,event,client,seq_num,details
1780647002.6593728,RECV,127.0.0.1:58346,128,DATA
1780647002.659789,WRITE,127.0.0.1:58346,128,512 bytes
1780647002.6601133,ACK_SENT,127.0.0.1:58346,128,ACK
1780647002.6605504,RECV,127.0.0.1:58346,129,DATA
1780647002.6611462,WRITE,127.0.0.1:58346,129,512 bytes
1780647002.6617453,ACK_SENT,127.0.0.1:58346,129,ACK
1780647002.6621356,RECV,127.0.0.1:58346,130,DATA
1780647002.6626992,WRITE,127.0.0.1:58346,130,512 bytes
1780647002.6630733,ACK_SENT,127.0.0.1:58346,130,ACK
1780647002.6635492,RECV,127.0.0.1:58346,131,DATA
1780647002.663932,WRITE,127.0.0.1:58346,131,512 bytes
1780647002.6642804,ACK_SENT,127.0.0.1:58346,131,ACK
1780647002.6645834,RECV,127.0.0.1:58346,132,DATA
1780647002.6649263,WRITE,127.0.0.1:58346,132,512 bytes
1780647002.6652348,ACK_SENT,127.0.0.1:58346,132,ACK
1780647002.6655593,RECV,127.0.0.1:58346,133,DATA
1780647002.665865,WRITE,127.0.0.1:58346,133,512 bytes
1780647002.666189,ACK_SENT,127.0.0.1:58346,133,ACK
1780647002.6665335,RECV,127.0.0.1:58346,134,DATA
1780647002.6670232,WRITE,127.0.0.1:58346,134,512 bytes
1780647002.6685162,ACK_SENT,127.0.0.1:58346,134,ACK
1780647002.6697888,RECV,127.0.0.1:58346,135,DATA
1780647002.6707916,WRITE,127.0.0.1:58346,135,512 bytes
1780647002.671621,ACK_SENT,127.0.0.1:58346,135,ACK
1780647002.672235,RECV,127.0.0.1:58346,136,DATA
1780647002.6728737,WRITE,127.0.0.1:58346,136,512 bytes
1780647002.6732771,ACK_SENT,127.0.0.1:58346,136,ACK
1780647002.6739364,RECV,127.0.0.1:58346,137,DATA
1780647002.6743393,WRITE,127.0.0.1:58346,137,512 bytes
1780647002.674714,ACK_SENT,127.0.0.1:58346,137,ACK
1780647002.6754096,RECV,127.0.0.1:58346,138,DATA
1780647002.6759777,WRITE,127.0.0.1:58346,138,512 bytes
1780647002.6764119,ACK_SENT,127.0.0.1:58346,138,ACK
1780647002.676991,RECV,127.0.0.1:58346,139,DATA
1780647002.6773582,WRITE,127.0.0.1:58346,139,512 bytes
1780647002.6777287,ACK_SENT,127.0.0.1:58346,139,ACK
1780647002.6782763,RECV,127.0.0.1:58346,140,DATA
1780647002.6788108,WRITE,127.0.0.1:58346,140,512 bytes
1780647002.6792068,ACK_SENT,127.0.0.1:58346,140,ACK
1780647002.679782,RECV,127.0.0.1:58346,141,DATA
1780647002.68022,WRITE,127.0.0.1:58346,141,512 bytes
1780647002.6806123,ACK_SENT,127.0.0.1:58346,141,ACK
1780647002.6812253,RECV,127.0.0.1:58346,142,DATA
1780647002.6817367,WRITE,127.0.0.1:58346,142,512 bytes
1780647002.6821396,ACK_SENT,127.0.0.1:58346,142,ACK
1780647002.6828766,RECV,127.0.0.1:58346,143,DATA
1780647002.6832294,WRITE,127.0.0.1:58346,143,512 bytes
1780647002.6835816,ACK_SENT,127.0.0.1:58346,143,ACK
1780647002.684608,RECV,127.0.0.1:58346,144,DATA
1780647002.6856513,WRITE,127.0.0.1:58346,144,512 bytes
