timestamp,event,seq_num,details
1780652081.1285315,SEND,210,"DATA, attempt=1"
1780652081.1295354,ACK_RECEIVED,210,ACK
1780652081.1299222,SEND,211,"DATA, attempt=1"
1780652081.1305377,ACK_RECEIVED,211,ACK
1780652081.1307607,SEND,212,"DATA, attempt=1"
1780652081.1313355,ACK_RECEIVED,212,ACK
1780652081.1315424,SEND,213,"DATA, attempt=1"
1780652081.132117,ACK_RECEIVED,213,ACK
1780652081.1323504,SEND,214,"DATA, attempt=1"
1780652081.1329994,ACK_RECEIVED,214,ACK
1780652081.1333547,SEND,215,"DATA, attempt=1"
1780652081.1339812,ACK_RECEIVED,215,ACK
1780652081.1343489,SEND,216,"DATA, attempt=1"
1780652081.1349728,ACK_RECEIVED,216,ACK
1780652081.135159,SEND,217,"DATA, attempt=1"
1780652081.1372325,ACK_RECEIVED,217,ACK
1780652081.1378489,SEND,218,"DATA, attempt=1"
1780652081.1391017,ACK_RECEIVED,218,ACK
1780652081.1396124,SEND,219,"DATA, attempt=1"
1780652081.140415,ACK_RECEIVED,219,ACK
1780652081.1407197,SEND,220,"DATA, attempt=1"
1780652081.1412504,ACK_RECEIVED,220,ACK
1780652081.1414313,SEND,221,"DATA, attempt=1"
1780652081.1419141,ACK_RECEIVED,221,ACK
1780652081.142105,SEND,222,"DATA, attempt=1"
1780652081.1426616,ACK_RECEIVED,222,ACK
1780652081.142849,SEND,223,"DATA, attempt=1"
1780652081.143294,ACK_RECEIVED,223,ACK
1780652081.143686,SEND,224,"DATA, attempt=1"
1780652081.1447265,ACK_RECEIVED,224,ACK
1780652081.1449816,SEND,225,"DATA, attempt=1"
1780652081.1456366,ACK_RECEIVED,225,ACK
1780652081.145834,SEND,226,"DATA, attempt=1"
1780652081.1467078,ACK_RECEIVED,226,ACK
1780652081.1469052,SEND,227,"DATA, attempt=1"
1780652081.1474848,ACK_RECEIVED,227,ACK
1780652081.14764,SEND,228,"DATA, attempt=1"
1780652081.1481051,ACK_RECEIVED,228,ACK
